RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;VW_STATEMENT_GH_CONTRACTS;VIEW;30879740;0;1;0;0;0.0
1;TKMTS;MVW_GH_CONTRACTS;MATERIALIZED VIEW;30879744;0;0;1;0;1.0
1;TKMTS;PAC_DYNAMIC_QUERY_BOOKING_Q;PACKAGE BODY;30879747;8295;0;4;0.00012055455093429777;1.0
1;TKMTS;TR_AIUD_RATEPLAN_SYNCPORTFOLIO;TRIGGER;30880643;60;0;0;0.016666666666666666;0
1;TKMTS;TR_AIU_CO_UNIT_SYNCPORTFOLIO;TRIGGER;30880644;54;0;0;0.018518518518518517;0
1;TKMTS;TR_AIUD_UNITEXCL_SYNCPORTFOLIO;TRIGGER;30880645;36;0;0;0.027777777777777776;0
1;TKMTS;TR_AIUD_CXL_SYNCPORTFOLIO;TRIGGER;30880646;42;0;0;0.023809523809523808;0
1;TKMTS;P_UPDATE_STOCK_CONTRACT_GENXML;PROCEDURE;30878600;100;0;2;0.01;1.0
1;TKMTS;F_ISWELLFORMEDXML;FUNCTION;5760352;38;0;0;0.02631578947368421;0
1;TKMTS;ESB_PUBLICATION_CONTRACT_TRC;TRIGGER;28602708;88;0;0;0.011363636363636364;0
1;TKMTS;MVW_STATEMENT_ADDRESSES;MATERIALIZED VIEW;28602720;0;0;1;0;1.0
1;TKMTS;MVW_STATEMENT_CXLDISTRIBUTOR;MATERIALIZED VIEW;28602726;0;0;1;0;1.0
1;TKMTS;MVW_STATEMENT_MEASURECONCEPTS;MATERIALIZED VIEW;28602730;0;0;0;0;0
1;TKMTS;MVW_STATEMENT_MEASUREUNITS;MATERIALIZED VIEW;28602732;0;0;0;0;0
1;TKMTS;MVW_STATEMENT_PROPERTYCODES;MATERIALIZED VIEW;28602737;0;0;0;0;0
1;TKMTS;MVW_STATEMENT_PROPERTYLISTS;MATERIALIZED VIEW;28602739;0;0;0;0;0
1;TKMTS;MVW_STATEMENT_SERVICETYPES;MATERIALIZED VIEW;28602741;0;0;0;0;0
1;TKMTS;MVW_STATEMENT_STOCKSERVICES_CI;MATERIALIZED VIEW;28602743;0;0;1;0;1.0
1;TKMTS;TR_BIU_OD_COM_CONTROL_ENTITYCK;TRIGGER;30315534;258;0;1;0.003875968992248062;1.0
1;TKMTS;TR_AIU_OD_COM_CONT_STATUSHIS;TRIGGER;30315535;35;0;0;0.02857142857142857;0
1;TKMTS;OD_COM_CONTROL_TRC;TRIGGER;30315533;71;0;0;0.014084507042253521;0
1;TKMTS;ISO_LANGUAGE_TRC;TRIGGER;2998847;82;0;0;0.012195121951219513;0
1;TKMTS;ISO_COUNTRY_TRC;TRIGGER;2998851;82;0;0;0.012195121951219513;0
1;TKMTS;ISO_COUNTRYLNG_TRC;TRIGGER;2998855;82;0;0;0.012195121951219513;0
1;TKMTS;ISO_CURRENCY_TRC;TRIGGER;2998860;82;0;0;0.012195121951219513;0
1;TKMTS;ISO_CURRENCYLNG_TRC;TRIGGER;2998861;82;0;0;0.012195121951219513;0
1;TKMTS;IATA_AIRPORT_TRC;TRIGGER;2998868;82;0;0;0.012195121951219513;0
1;TKMTS;IATA_AIRPORTLNG_TRC;TRIGGER;2998869;82;0;0;0.012195121951219513;0
1;TKMTS;IATA_AIRLINE_TRC;TRIGGER;2998873;82;0;0;0.012195121951219513;0
1;TKMTS;SD_DESTINATION_TRC;TRIGGER;2998877;82;0;0;0.012195121951219513;0
1;TKMTS;TR_CODE_DESTINATION;TRIGGER;2998879;42;0;1;0.023809523809523808;1.0
1;TKMTS;SD_REGION_TRC;TRIGGER;2998883;82;0;0;0.012195121951219513;0
1;TKMTS;TR_CODE_REGION;TRIGGER;2998885;40;0;1;0.025;1.0
1;TKMTS;SD_RESORT_TRC;TRIGGER;2998889;82;0;0;0.012195121951219513;0
1;TKMTS;TR_CODE_RESORT;TRIGGER;2998891;46;0;1;0.021739130434782608;1.0
1;TKMTS;OD_ADDRESS_TRC;TRIGGER;2998898;82;0;0;0.012195121951219513;0
1;TKMTS;OD_COMMUNICATIONTYPE_TRC;TRIGGER;2998902;82;0;0;0.012195121951219513;0
