RecordType;Schema;Name;Type;Complexity;Coupling;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;F_ISWELLFORMEDXML;FUNCTION;Complex;Loosely;5760352;38;0;0;0,026315789;0
1;TKMTS;F_METERS_BETWEEN_COORDINATES;FUNCTION;Simple;Loosely;28839892;30;0;0;0,033333333;0
1;OPERATIVE;F_BLOB2CLOB;FUNCTION;Medium;Loosely;11009555;107;3;0;0,009345794;0
1;OPERATIVE;F_CLOBREPLACE;FUNCTION;Medium;Loosely;11009556;85;0;0;0,011764706;0
1;OPERATIVE;F_CLOB2BLOB;FUNCTION;Medium;Loosely;11009557;167;4;0;0,005988024;0
1;OPERATIVE;F_COMPRESSBLOB;FUNCTION;Complex;Loosely;11009558;57;3;0;0,01754386;0
1;OPERATIVE;F_COMPRESSCLOB;FUNCTION;Simple;Tightly;11009559;57;0;2;0,01754386;1
1;OPERATIVE;F_COMPRESSXMLTYPE;FUNCTION;Simple;Tightly;11009560;29;1;3;0,034482759;0,75
1;OPERATIVE;F_GETMESSAGE;FUNCTION;Medium;Loosely;11009561;65;0;0;0,015384615;0
1;OPERATIVE;F_GET_XML_TABLENAME;FUNCTION;Simple;Loosely;11009562;23;0;0;0,043478261;0
1;OPERATIVE;F_UNCOMPRESS2BLOB;FUNCTION;Complex;Loosely;11009563;59;3;0;0,016949153;0
1;OPERATIVE;F_UNCOMPRESS2CLOB;FUNCTION;Simple;Tightly;11009564;55;0;2;0,018181818;1
1;OPERATIVE;F_UNCOMPRESS2XMLTYPE;FUNCTION;Complex;Medium;11009565;27;1;2;0,037037037;0,666666667
1;OPERATIVE;F_XMLTYPE2BLOB;FUNCTION;Simple;Loosely;11009566;29;2;1;0,034482759;0,333333333
1;OPERATIVE;F_XMLTYPE2CLOB;FUNCTION;Simple;Loosely;11009567;29;0;0;0,034482759;0
1;TKMTS;F_METERS_BETWEEN_COORDINATES2;FUNCTION;Simple;Loosely;28862447;18;0;0;0,055555556;0
1;MTS_ADMIN;F_GET_TOKEN;FUNCTION;Simple;Loosely;3011374;118;4;0;0,008474576;0
1;MTS_ADMIN;F_LIST_COLUMNS_TABLE;FUNCTION;Simple;Loosely;3011375;26;0;0;0,038461538;0
1;TKMTS;F_CHECK_EMAIL;FUNCTION;Simple;Loosely;3011376;72;1;0;0,013888889;0
1;TKMTS;TMP_F_GETAPPLIESONUNITS;FUNCTION;Complex;Medium;3011377;177;2;2;0,005649718;0,5
1;TKMTS;JF_ENCRYPT;FUNCTION;Complex;Loosely;3011378;31;0;0;0,032258065;0
1;TKMTS;JF_AU_GETUSER;FUNCTION;Complex;Loosely;3011379;31;0;0;0,032258065;0
1;TKMTS;JF_AU_DOLOGINPWD;FUNCTION;Complex;Loosely;3011380;37;0;0;0,027027027;0
1;TKMTS;JF_AU_DOLOGIN;FUNCTION;Complex;Loosely;3011381;35;0;0;0,028571429;0
1;TKMTS;F_ISSTOCKUNITSUBSER_APPLY;FUNCTION;Complex;Tightly;3011382;41;0;3;0,024390244;1
1;TKMTS;F_GET_XMLDATE_TO_DATE;FUNCTION;Simple;Loosely;3011383;63;12;0;0,015873016;0
1;TKMTS;F_GET_XMLDATETIME_TO_DATETIME;FUNCTION;Complex;Loosely;3011384;68;7;1;0,014705882;0,125
1;TKMTS;F_GET_TOKEN;FUNCTION;Simple;Loosely;3011385;118;4;0;0,008474576;0
1;TKMTS;F_GET_STANDARD_COMMON;FUNCTION;Simple;Loosely;3011386;53;12;0;0,018867925;0
1;TKMTS;F_GET_PRICEGROUPCODE;FUNCTION;Simple;Loosely;3011387;61;3;0;0,016393443;0
1;TKMTS;F_GET_PRICECATEGORYNAME;FUNCTION;Simple;Tightly;3011388;65;0;1;0,015384615;1
1;TKMTS;F_GET_OD_ENTITYNAME;FUNCTION;Simple;Loosely;3011389;56;9;0;0,017857143;0
1;TKMTS;F_GET_OD_ENTITYID;FUNCTION;Simple;Loosely;3011390;77;21;0;0,012987013;0
1;TKMTS;F_GET_OD_ENTITYCODE;FUNCTION;Simple;Loosely;3011391;71;23;0;0,014084507;0
1;TKMTS;F_GET_NVTSTOCKUNITCODE;FUNCTION;Complex;Loosely;3011392;160;1;0;0,00625;0
1;TKMTS;F_GET_ISO_LANGUAGENAME;FUNCTION;Simple;Loosely;3011393;61;0;0;0,016393443;0
1;TKMTS;F_GET_ISO_CURRENCY_ISO3;FUNCTION;Simple;Loosely;3011394;63;12;0;0,015873016;0
1;TKMTS;F_GET_ISO_CURRENCY_ID;FUNCTION;Simple;Loosely;3011395;59;8;0;0,016949153;0
1;TKMTS;F_GET_ISO_CURRENCYNAME;FUNCTION;Simple;Loosely;3011396;67;0;0;0,014925373;0
1;TKMTS;F_GET_ISO_COUNTRY_ISO2;FUNCTION;Simple;Loosely;3011397;53;2;0;0,018867925;0
1;TKMTS;F_GET_ISO_COUNTRY_ID;FUNCTION;Simple;Loosely;3011398;53;1;0;0,018867925;0
1;TKMTS;F_GET_ISO_COUNTRYNAME;FUNCTION;Simple;Loosely;3011399;67;0;0;0,014925373;0
1;TKMTS;F_GET_GD_CODE_NAME_ID;FUNCTION;Simple;Tightly;3011400;75;0;1;0,013333333;1
1;TKMTS;F_GET_GD_CODE_NAME;FUNCTION;Simple;Loosely;3011401;73;5;1;0,01369863;0,166666667
1;TKMTS;F_GET_GD_CODE_ID;FUNCTION;Simple;Loosely;3011402;69;21;0;0,014492754;0
1;TKMTS;F_GET_GD_CODE;FUNCTION;Simple;Loosely;3011403;58;21;0;0,017241379;0
1;TKMTS;F_GET_FLOAT_TO_CHAR;FUNCTION;Simple;Loosely;3011404;51;10;0;0,019607843;0
1;TKMTS;F_GET_DATE_TO_XMLDATE;FUNCTION;Simple;Loosely;3011405;63;16;0;0,015873016;0
1;TKMTS;F_GET_DATETIME_TO_XMLDATETIME;FUNCTION;Simple;Loosely;3011406;65;9;0;0,015384615;0
1;TKMTS;F_GET_CO_SEASONID;FUNCTION;Simple;Loosely;3011407;76;5;0;0,013157895;0
1;TKMTS;F_GET_CONTRACT_CLIENTS;FUNCTION;Complex;Loosely;3011408;66;0;0;0,015151515;0
1;TKMTS;F_GET_CHAR_TO_FLOAT;FUNCTION;Simple;Loosely;3011409;51;8;0;0,019607843;0
1;TKMTS;F_GET_BOOLEAN_CONVERSION_NUM;FUNCTION;Simple;Loosely;3011410;67;9;0;0,014925373;0
1;TKMTS;F_GET_BOOLEAN_CONVERSION;FUNCTION;Simple;Loosely;3011411;67;13;0;0,014925373;0
1;TKMTS;F_GET_APPLIESONUNITS;FUNCTION;Complex;Tightly;3011412;35;0;3;0,028571429;1
1;TKMTS;F_GET_ALPHABETICAL_STRING;FUNCTION;Complex;Loosely;3011413;83;3;0;0,012048193;0
1;TKMTS;F_GETUSERNAME;FUNCTION;Simple;Loosely;3011414;33;6;0;0,03030303;0
1;TKMTS;F_GETBUSINESSELEMENTVALUE;FUNCTION;Simple;Loosely;3011415;66;12;0;0,015151515;0
1;TKMTS;F_GETBUSINESSELEMENTCODEVALUE;FUNCTION;Simple;Loosely;3011416;60;6;1;0,016666667;0,142857143
1;TKMTS;F_CO_GETRESORTOFFICE;FUNCTION;Simple;Loosely;3011417;70;17;0;0,014285714;0
1;TKMTS;F_CO_GETCOUNTRY;FUNCTION;Simple;Loosely;3011418;82;16;2;0,012195122;0,111111111
1;TKMTS;F_CO_DOCHECKOUT_XML;FUNCTION;Simple;Tightly;3011419;438;0;3;0,002283105;1
1;TKMTS;F_CO_DOCHECKOUT;FUNCTION;Simple;Loosely;3011420;143;0;0;0,006993007;0
1;TKMTS;F_CONVERT_CLOB_TO_BLOB;FUNCTION;Simple;Loosely;3011421;93;5;0;0,010752688;0
1;TKMTS;F_CONVERT_BLOB_TO_CLOB;FUNCTION;Simple;Loosely;3011422;93;3;0;0,010752688;0
1;TKMTS;F_REMOVE_SPECIAL_CHARS;FUNCTION;Simple;Loosely;4498820;38;5;0;0,026315789;0
1;TKMTS;F_GET_AU_APPSETTING_D;FUNCTION;Simple;Loosely;5049543;32;0;0;0,03125;0
1;TKMTS;F_GET_AU_APPSETTING_T;FUNCTION;Simple;Loosely;5049544;32;2;0;0,03125;0
1;TKMTS;F_GET_AU_APPSETTING_N;FUNCTION;Simple;Loosely;5049545;32;10;0;0,03125;0
1;TKMTS;F_CLOB2BLOB;FUNCTION;Simple;Loosely;28586731;167;4;0;0,005988024;0
1;TKMTS;F_BLOB2CLOB;FUNCTION;Complex;Loosely;28586732;107;3;0;0,009345794;0
1;OPERATIVE;F_GET_AXISLOG_DETAIL_XML;FUNCTION;Simple;Tightly;10638246;22;0;3;0,045454545;1
1;TKMTS;F_GETUSERVISIBILITYOFFICES;FUNCTION;Complex;Tightly;28473662;16;0;1;0,0625;1
1;TKMTS;F_GET_CLIENTSTOCKUNITCODE;FUNCTION;Simple;Loosely;3615247;110;0;0;0,009090909;0
1;TKMTS;F_GETBILLINGCOSTPROMOTION;FUNCTION;Simple;Loosely;8783546;38;0;0;0,026315789;0
1;TKMTS;F_GET_CLIENTUNITTRCODE;FUNCTION;Complex;Loosely;11377496;70;0;0;0,014285714;0
1;TKMTS;F_GETTIMEDIFF_SECS;FUNCTION;Simple;Loosely;8514212;58;1;0;0,017241379;0
1;TKMTS;GET_HTML_REPORT;FUNCTION;Complex;Loosely;28429069;184;1;0;0,005434783;0
1;TKMTS;F_ISVALIDCOORDINATE;FUNCTION;Simple;Loosely;28860766;58;0;0;0,017241379;0
1;MTS_ADMIN;GET_HTML_REPORT;FUNCTION;Medium;Loosely;28546157;184;1;0;0,005434783;0
1;TKMTS;F_RETURN_DATE_OK;FUNCTION;Simple;Loosely;23024133;16;0;0;0,0625;0
1;TKMTS;F_GET_OIGPS;FUNCTION;Simple;Loosely;28846049;29;0;0;0,034482759;0
1;TKMTS;F_GETMD5CHECKSUM;FUNCTION;Complex;Loosely;28946145;9;0;0;0,111111111;0
1;TKMTS;F_GET_ACCUMULATE;FUNCTION;Simple;Loosely;29061447;25;0;0;0,04;0
1;TKMTS;STRIPHTML;FUNCTION;Simple;Loosely;29049980;5;0;0;0,2;0
1;TKMTS;F_MINUTES_TO_HOURS;FUNCTION;Simple;Loosely;29252394;28;3;0;0,035714286;0
1;TKMTS;F_GET_DATE_TO_XMLDATE_WO_TZONE;FUNCTION;Simple;Loosely;29308282;48;5;0;0,020833333;0
1;TKMTS;F_HOURS_TO_MINUTES;FUNCTION;Simple;Loosely;30404668;32;0;0;0,03125;0
1;TKMTS;F_GET_MEETINGPOINT;FUNCTION;Medium;Loosely;30494056;70;0;0;0,014285714;0
1;TKMTS;RANDOM_STRING;FUNCTION;Medium;Loosely;31113865;13;0;0;0,076923077;0
1;TKMTS;F_GET_STOCK_COUNTRY;FUNCTION;Simple;Loosely;31169899;17;0;0;0,058823529;0
1;TKMTS;cAuthorization;JAVA CLASS;No Actions;Loosely;3013757;460;0;0;0,002173913;0
1;TKMTS;cHash;JAVA CLASS;No Actions;Loosely;3013759;152;0;0;0,006578947;0
1;TKMTS;ContractStatus;JAVA CLASS;No Actions;Loosely;3013761;26;0;0;0,038461538;0
1;TKMTS;cAuthorization;JAVA SOURCE;No Actions;Loosely;3013756;460;0;0;0,002173913;0
1;TKMTS;cHash;JAVA SOURCE;No Actions;Loosely;3013758;152;0;0;0,006578947;0
1;TKMTS;ContractStatus;JAVA SOURCE;No Actions;Loosely;3013760;26;0;0;0,038461538;0
1;TKMTS;MV_RF$J_0_S_136256;JOB;Complex;Loosely;30879743;0;0;0;;0
1;TKMTS;AXIS_TKMTS_EXPORTSTATISTICDATA;JOB;Complex;Loosely;5619423;0;0;0;;0
1;TKMTS;AXIS_TKMTS_GR_NOTIFY_INCON;JOB;Complex;Loosely;27780736;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CHECKS;JOB;Complex;Loosely;30281598;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CHECKS_QRTZ_LOCK;JOB;Complex;Loosely;30281600;0;0;0;;0
1;OPERATIVE;AXIS_AXISLOG_MAINT_TASKS;JOB;No Actions;Loosely;5605011;0;0;0;;0
1;TKMTS;AXIS_TKMTS_BOOKING_UNLOCK;JOB;Complex;Loosely;14184801;0;0;0;;0
1;TKMTS;AXIS_TKMTS_DLT_XML_GENERATED;JOB;Complex;Loosely;14184802;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_MB;JOB;Complex;Loosely;23034718;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_COM;JOB;Complex;Loosely;22635402;0;0;0;;0
1;TKMTS;AXIS_TKMTS_DELETE_CO_EDITION;JOB;Complex;Loosely;28555982;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_EDITION_XML;JOB;Complex;Loosely;24639326;0;0;0;;0
1;TKMTS;AXIS_TKMTS_BO_CLEAN_BO_HE_LOG;JOB;Complex;Loosely;28588033;0;0;0;;0
1;TKMTS;AXIS_TKMTS_DELETEFLIGHTS;JOB;Complex;Loosely;5623234;0;0;0;;0
1;TKMTS;AXIS_TKMTS_DELB2BEXPIREDCON;JOB;Complex;Loosely;5623344;0;0;0;;0
1;TKMTS;AXIS_TKMTS_GRP_CLEAN_HISTORY;JOB;Complex;Loosely;28586122;0;0;0;;0
1;MTS_ADMIN;AXIS_SQL_MONITOR;JOB;No Actions;Loosely;28607242;0;0;0;;0
1;TKMTS;AXIS_TKMTS_RQ_HOURLYCHECK;JOB;Complex;Loosely;25931462;0;0;0;;0
1;TKMTS;AXIS_TKMTS_BO_CLEAN_HISTORY;JOB;Complex;Loosely;17967815;0;0;0;;0
1;TKMTS;AXIS_TKMTS_BOOKING_SPLIT_RPT;JOB;Complex;Loosely;8316954;0;0;0;;0
1;TKMTS;AXIS_TKMTS_ALERT_AUTONOTIFY_CI;JOB;Complex;Loosely;25714428;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_NSC_DAILY;JOB;Complex;Loosely;28825563;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_INBOXLOGS;JOB;Complex;Loosely;28842122;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_TASKS;JOB;Complex;Loosely;28835139;0;0;0;;0
1;TKMTS;AXIS_TKMTS_MAINTENANCE_ESB;JOB;Complex;Loosely;28845837;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CHECK_EXCHANGERATES;JOB;Complex;Loosely;29119122;0;0;0;;0
1;TKMTS;AXIS_TKMTS_BI_ALLOTMCHANGESLOG;JOB;Complex;Loosely;29119124;0;0;0;;0
1;MTS_ADMIN;AXIS_SQL_MONITOR_DELETE;JOB;No Actions;Loosely;30232690;0;0;0;;0
1;MTS_ADMIN;AXIS_DBA_DISABLE_PREALLOCATION;JOB;No Actions;Loosely;30253254;0;0;0;;0
1;TKMTS;DBMS_JOB$_134178;JOB;Complex;Loosely;30863364;0;0;0;;0
1;TKMTS;DBMS_JOB$_134342;JOB;Complex;Loosely;30863368;0;0;0;;0
1;TKMTS;DBMS_JOB$_134626;JOB;Complex;Loosely;30863369;0;0;0;;0
1;TKMTS;DBMS_JOB$_134564;JOB;Complex;Loosely;30863371;0;0;0;;0
1;TKMTS;DBMS_JOB$_134847;JOB;Complex;Loosely;30863377;0;0;0;;0
1;TKMTS;DBMS_JOB$_134986;JOB;Complex;Loosely;30863378;0;0;0;;0
1;TKMTS;DBMS_JOB$_135066;JOB;Complex;Loosely;30863379;0;0;0;;0
1;TKMTS;DBMS_JOB$_134886;JOB;Complex;Loosely;30863380;0;0;0;;0
1;TKMTS;DBMS_JOB$_134967;JOB;Complex;Loosely;30863384;0;0;0;;0
1;TKMTS;DBMS_JOB$_130591;JOB;Complex;Loosely;30863350;0;0;0;;0
1;TKMTS;DBMS_JOB$_130594;JOB;Complex;Loosely;30863351;0;0;0;;0
1;TKMTS;DBMS_JOB$_130596;JOB;Complex;Loosely;30863352;0;0;0;;0
1;TKMTS;DBMS_JOB$_130597;JOB;Complex;Loosely;30863353;0;0;0;;0
1;TKMTS;DBMS_JOB$_130599;JOB;Complex;Loosely;30863354;0;0;0;;0
1;TKMTS;DBMS_JOB$_130600;JOB;Complex;Loosely;30863355;0;0;0;;0
1;TKMTS;DBMS_JOB$_130601;JOB;Complex;Loosely;30863356;0;0;0;;0
1;TKMTS;DBMS_JOB$_130602;JOB;Complex;Loosely;30863357;0;0;0;;0
1;TKMTS;DBMS_JOB$_130911;JOB;Complex;Loosely;30863358;0;0;0;;0
1;TKMTS;DBMS_JOB$_134200;JOB;Complex;Loosely;30863361;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CHECKS_CO_ERROR_PU;JOB;Complex;Loosely;30333597;0;0;0;;0
1;TKMTS;AXIS_TKMTS_EPA_INSERT;JOB;Complex;Loosely;30504300;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_COVISIBILITY;JOB;Complex;Loosely;30851563;0;0;0;;0
1;TKMTS;MAINTENANCE_DELTA_NOTIF;JOB;Complex;Loosely;30585508;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_AVAIL;JOB;Complex;Loosely;30607283;0;0;0;;0
1;TKMTS;AXIS_TKMTS_EPA_CHECK_RECORDS;JOB;Complex;Loosely;30669504;0;0;0;;0
1;TKMTS;PROVIDER_COMM_CONTROL;JOB;Complex;Loosely;30727928;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CONTRACT_UNLOCK;JOB;Complex;Loosely;30849251;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_CO_AVAIL_LOG;JOB;Complex;Loosely;30849263;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_EPA_ONSALE;JOB;Complex;Loosely;30849264;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_NSC;JOB;Complex;Loosely;30833898;0;0;0;;0
1;TKMTS;AXIS_TKMTS_MB_ITEMS_AVAIL_ONSALE;JOB;Complex;Loosely;31042644;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_PORTFOLIO_QUEUE;JOB;Complex;Loosely;31007439;0;0;0;;0
1;TKMTS;AXIS_TKMTS_RESET_PORTFOLIO_QUEUE;JOB;Complex;Loosely;31019332;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CLEAN_PRICERATELOG;JOB;Complex;Loosely;31064105;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CO_MB_ITEM_CHECK_RECORDS;JOB;Complex;Loosely;31079411;0;0;0;;0
1;TKMTS;AXIS_TKMTS_CO_MB_ITEM_ONSALE_CLEAN;JOB;Complex;Loosely;31153334;0;0;0;;0
1;TKMTS;AXIS_TKMTS_REPORT_TROUT_PICKUP;JOB;Complex;Loosely;31232832;0;0;0;;0
1;TKMTS;AXIS_TKMTS_EPA_ERROR;JOB;Complex;Loosely;31192814;0;0;0;;0
1;TKMTS;ROSHNI_TEMP_UPDATE_BO_ITEM_PAX_PAXTYPE;JOB;Complex;Loosely;31332432;0;0;0;;0
1;TKMTS;MVW_GH_CONTRACTS;MATERIALIZED VIEW;No Actions;Tightly;30879744;0;0;1;;1
1;TKMTS;MVW_STATEMENT_ADDRESSES;MATERIALIZED VIEW;No Actions;Tightly;28602720;0;0;1;;1
1;TKMTS;MVW_STATEMENT_CXLDISTRIBUTOR;MATERIALIZED VIEW;No Actions;Tightly;28602726;0;0;1;;1
1;TKMTS;MVW_STATEMENT_MEASURECONCEPTS;MATERIALIZED VIEW;No Actions;Loosely;28602730;0;0;0;;0
1;TKMTS;MVW_STATEMENT_MEASUREUNITS;MATERIALIZED VIEW;No Actions;Loosely;28602732;0;0;0;;0
1;TKMTS;MVW_STATEMENT_PROPERTYCODES;MATERIALIZED VIEW;No Actions;Loosely;28602737;0;0;0;;0
1;TKMTS;MVW_STATEMENT_PROPERTYLISTS;MATERIALIZED VIEW;No Actions;Loosely;28602739;0;0;0;;0
1;TKMTS;MVW_STATEMENT_SERVICETYPES;MATERIALIZED VIEW;No Actions;Loosely;28602741;0;0;0;;0
1;TKMTS;MVW_STATEMENT_STOCKSERVICES_CI;MATERIALIZED VIEW;No Actions;Tightly;28602743;0;0;1;;1
1;TKMTS;MVW_STATEMENT_EXTRACONTRACT;MATERIALIZED VIEW;No Actions;Tightly;28844757;0;0;1;;1
1;TKMTS;MVW_STATEMENT_CLIENTSETTING;MATERIALIZED VIEW;No Actions;Loosely;28839087;0;0;0;;0
1;TKMTS;MVW_BI_CLIENTPORTFOLIO_V2;MATERIALIZED VIEW;No Actions;Tightly;28826368;0;0;4;;1
1;TKMTS;MVW_STATEMENT_BOARDS;MATERIALIZED VIEW;No Actions;Loosely;28893001;0;0;0;;0
1;TKMTS;MVW_STATEMENT_ROOMS;MATERIALIZED VIEW;No Actions;Loosely;29001686;0;0;0;;0
1;TKMTS;MVW_STATEMENT_PICTURES;MATERIALIZED VIEW;No Actions;Loosely;29048330;0;0;0;;0
1;TKMTS;MVW_STATEMENT_HOTELS;MATERIALIZED VIEW;No Actions;Tightly;30097148;0;0;4;;1
1;TKMTS;MVW_STATEMENT_CLIENTS;MATERIALIZED VIEW;No Actions;Tightly;30069050;0;0;1;;1
1;TKMTS;MVW_STATEMENT_SERVICECODES;MATERIALIZED VIEW;No Actions;Loosely;30587186;0;0;0;;0
1;TKMTS;MVW_STATEMENT_STOCKSERVICES;MATERIALIZED VIEW;No Actions;Tightly;30627772;0;0;1;;1
1;TKMTS;MVW_STATEMENT_CXLCONTRACT;MATERIALIZED VIEW;No Actions;Tightly;30711508;0;0;2;;1
1;TKMTS;MVW_STATEMENT_AREAS;MATERIALIZED VIEW;No Actions;Loosely;30741485;0;0;0;;0
1;TKMTS;MVW_STATEMENT_HOTELS2;MATERIALIZED VIEW;No Actions;Loosely;31300851;0;0;0;;0
1;TKMTS;PAC_CO_CONSOLIDATE_UTILS;PACKAGE;Complex;Medium;28826675;4910;6;6;0,000203666;0,5
1;TKMTS;PAC_STOPSALES;PACKAGE;Simple;Tightly;28589012;362;1;3;0,002762431;0,75
1;MTS_ADMIN;PAC_AP;PACKAGE;Simple;Medium;3011182;42;1;1;0,023809524;0,5
1;MTS_ADMIN;PAC_TRAVELKISS;PACKAGE;Simple;Tightly;3011183;473;1;5;0,002114165;0,833333333
1;MTS_ADMIN;PAC_MAGALLANES;PACKAGE;Simple;Medium;3011184;278;1;1;0,003597122;0,5
1;MTS_ADMIN;PAC_DBA;PACKAGE;Simple;Medium;3011185;244;1;1;0,004098361;0,5
1;OPERATIVE;AXISFILE;PACKAGE;Medium;Medium;3011186;444;2;2;0,002252252;0,5
1;OPERATIVE;AXISUTILS;PACKAGE;Simple;Loosely;3011187;202;3;1;0,004950495;0,25
1;OPERATIVE;AXISMAIL;PACKAGE;Complex;Medium;3011188;383;3;3;0,002610966;0,5
1;OPERATIVE;AXISLOG;PACKAGE;Simple;Loosely;3011189;1982;175;8;0,000504541;0,043715847
1;OPERATIVE;AXISHTML;PACKAGE;Medium;Medium;3011190;135;1;2;0,007407407;0,666666667
1;TKMTS;PAC_XML_UTIL;PACKAGE;Simple;Loosely;3011194;2496;30;9;0,000400641;0,230769231
1;TKMTS;PAC_XML_STOPSALES;PACKAGE;Simple;Tightly;3011195;1520;1;12;0,000657895;0,923076923
1;TKMTS;PAC_XML_SALESTERMS;PACKAGE;Simple;Tightly;3011196;1623;1;12;0,000616143;0,923076923
1;TKMTS;PAC_XML_MTSMASTER;PACKAGE;Complex;Medium;3011197;13367;13;20;7,48111E-05;0,606060606
1;TKMTS;PAC_XML_MASTERDATA;PACKAGE;Simple;Tightly;3011198;14922;1;15;6,70151E-05;0,9375
1;TKMTS;PAC_XML_CONTRACT;PACKAGE;Simple;Medium;3011199;18596;10;22;5,3775E-05;0,6875
1;TKMTS;PAC_UPLOAD;PACKAGE;Simple;Tightly;3011201;962;1;8;0,001039501;0,888888889
1;TKMTS;PAC_RQMANAGER;PACKAGE;Simple;Tightly;3011202;1994;1;3;0,000501505;0,75
1;TKMTS;PAC_PUBLICATION;PACKAGE;Simple;Tightly;3011203;2426;2;6;0,000412201;0,75
1;TKMTS;PAC_PRODUCT;PACKAGE;Complex;Loosely;3011204;126;2;1;0,007936508;0,333333333
1;TKMTS;PAC_OLITE;PACKAGE;Simple;Loosely;3011205;234;3;1;0,004273504;0,25
1;TKMTS;PAC_MTSMASTER;PACKAGE;Simple;Tightly;3011206;1790;1;12;0,000558659;0,923076923
1;TKMTS;PAC_MIGRATION;PACKAGE;Complex;Tightly;3011207;964;1;8;0,001037344;0,888888889
1;TKMTS;PAC_FLIGHT;PACKAGE;Simple;Medium;3011208;854;2;4;0,00117096;0,666666667
1;TKMTS;PAC_EXCHANGERATE;PACKAGE;Simple;Medium;3011209;1652;11;18;0,000605327;0,620689655
1;TKMTS;PAC_ESB;PACKAGE;Simple;Tightly;3011210;2949;1;7;0,000339098;0,875
1;TKMTS;PAC_DB_UTILS;PACKAGE;Complex;Tightly;3011211;1010;1;5;0,000990099;0,833333333
1;TKMTS;PAC_CO_UTILS;PACKAGE;Complex;Loosely;3011212;4530;19;8;0,000220751;0,296296296
1;TKMTS;PAC_CONTRACT;PACKAGE;Simple;Tightly;3011213;20508;3;20;4,87615E-05;0,869565217
1;TKMTS;PAC_CONSTANTS;PACKAGE;No Actions;Loosely;3011214;760;152;0;0,001315789;0
1;TKMTS;PAC_CLIENTB2B;PACKAGE;Simple;Loosely;3011215;5126;15;6;0,000195084;0,285714286
1;TKMTS;PAC_CLIENT;PACKAGE;Simple;Medium;3011216;3286;10;7;0,000304321;0,411764706
1;TKMTS;PAC_CLEANENTITY;PACKAGE;Simple;Tightly;3011217;2267;1;5;0,000441112;0,833333333
1;TKMTS;PAC_CHECKS;PACKAGE;Simple;Tightly;3011218;4429;1;9;0,000225785;0,9
1;TKMTS;PAC_ESBLOGXML;PACKAGE;Simple;Tightly;28829564;320;1;3;0,003125;0,75
1;TKMTS;PAC_CONTRACT_EXTENDED_RO;PACKAGE;Simple;Tightly;28911937;1573;1;11;0,000635728;0,916666667
